event_id,t_start,t_end,half,team_name,team_id,player_name,player_id,event_code_raw,action_raw,action_label,pos_x,pos_y
1,5.21,5.21,1,,,,,Start of the 1st half,Start of the 1st half,start of the 1st half,,
2,5.21,11.21,1,Galatasaray,29205.0,İlkay Gündoğan,567726.0,20. İlkay Gündoğan (567726) - Paslar adresi bulanlar,Paslar adresi bulanlar,paslar adresi bulanlar,52.43,34.24
3,5.21,18.21,1,Galatasaray,29205.0,İlkay Gündoğan,567726.0,20. İlkay Gündoğan (567726) - Playing in set-piece attacks,Playing in set-piece attacks,playing in set-piece attacks,52.43,34.24
4,6.21,18.21,1,Manchester City,46673.0,Nathan Ake,27420.0,6. Nathan Ake (27420) - Incomplete passes forward,Incomplete passes forward,incomplete passes forward,14.71,49.98
5,6.21,18.21,1,Manchester City,46673.0,Nathan Ake,27420.0,6. Nathan Ake (27420) - İsabetsiz paslar,İsabetsiz paslar,i̇sabetsiz paslar,14.71,49.98
6,8.21,20.21,1,Galatasaray,29205.0,İlkay Gündoğan,567726.0,20. İlkay Gündoğan (567726) - Incomplete passes forward,Incomplete passes forward,incomplete passes forward,73.41,18.69
7,8.21,20.21,1,Galatasaray,29205.0,İlkay Gündoğan,567726.0,20. İlkay Gündoğan (567726) - İsabetsiz paslar,İsabetsiz paslar,i̇sabetsiz paslar,73.41,18.69
8,10.21,22.21,1,Manchester City,46673.0,Bernardo Silva,1005663.0,20. Bernardo Silva (1005663) - Incomplete passes forward,Incomplete passes forward,incomplete passes forward,24.77,47.88
9,10.21,22.21,1,Manchester City,46673.0,Bernardo Silva,1005663.0,20. Bernardo Silva (1005663) - İsabetsiz paslar,İsabetsiz paslar,i̇sabetsiz paslar,24.77,47.88
10,13.21,25.21,1,Galatasaray,29205.0,Abdülkerim Bardakcı,126526.0,42. Abdülkerim Bardakcı (126526) - Paslar adresi bulanlar,Paslar adresi bulanlar,paslar adresi bulanlar,64.64,9.11
11,15.21,27.21,1,Galatasaray,29205.0,Roland Sallai,1282353.0,7. Roland Sallai (1282353) - Incomplete passes forward,Incomplete passes forward,incomplete passes forward,62.13,3.15
12,15.21,27.21,1,Galatasaray,29205.0,Roland Sallai,1282353.0,7. Roland Sallai (1282353) - Incomplete progressive passes,Incomplete progressive passes,incomplete progressive passes,62.13,3.15
